Order ID,Order Date,Customer ID,Product ID,Quantity,Year,Month,Month-Year,Quarter,Day,order_Size,Customer Name,City,Country,Loyalty Card,Coffee Type,Roast Type,Size,Unit Price,Price per 100g,Profit,Size_Label,Total_Order_Value,Total_Profit
QEV-37451-860,2019-09-05,17670-51384-MA,R-M-1,2,2019,9,2019-09,3,5,Small,Aloisia Allner,Paterson,United States,Yes,Rob,M,1.0,9.95,0.9949999999999999,0.597,Large,19.9,1.194
QEV-37451-860,2019-09-05,17670-51384-MA,E-M-0.5,5,2019,9,2019-09,3,5,Medium,Aloisia Allner,Paterson,United States,Yes,Exc,M,0.5,8.25,1.65,0.9075,Medium,41.25,4.5375
FAA-43335-268,2021-06-17,21125-22134-PX,A-L-1,1,2021,6,2021-06,2,17,Single,Jami Redholes,San Antonio,United States,Yes,Ara,L,1.0,12.95,1.295,1.1655,Large,12.95,1.1655
KAC-83089-793,2021-07-15,23806-46781-OU,E-M-1,2,2021,7,2021-07,3,15,Small,Christoffer O' Shea,Cill Airne,Ireland,No,Exc,M,1.0,13.75,1.375,1.5125,Large,27.5,3.025
KAC-83089-793,2021-07-15,23806-46781-OU,R-L-2.5,2,2021,7,2021-07,3,15,Small,Christoffer O' Shea,Cill Airne,Ireland,No,Rob,L,2.5,27.484999999999996,1.0994,1.6490999999999998,X-Large,54.96999999999999,3.2981999999999996
CVP-18956-553,2021-08-04,86561-91660-RB,L-D-1,3,2021,8,2021-08,3,4,Small,Beryle Cottier,Scranton,United States,No,Lib,D,1.0,12.95,1.295,1.6835,Large,38.849999999999994,5.0504999999999995
IPP-31994-879,2022-01-21,65223-29612-CB,E-D-0.5,3,2022,1,2022-01,1,21,Small,Shaylynn Lobe,Dayton,United States,Yes,Exc,D,0.5,7.29,1.458,0.8019000000000001,Medium,21.87,2.4057000000000004
SNZ-65340-705,2022-05-20,21134-81676-FR,L-L-0.2,1,2022,5,2022-05,2,20,Single,Melvin Wharfe,Kill,Ireland,Yes,Lib,L,0.2,4.755,2.3775,0.61815,Small,4.755,0.61815
EZT-46571-659,2019-01-02,03396-68805-ZC,R-M-0.5,3,2019,1,2019-01,1,2,Small,Guthrey Petracci,Los Angeles,United States,No,Rob,M,0.5,5.97,1.194,0.35819999999999996,Medium,17.91,1.0745999999999998
NWQ-70061-912,2019-09-05,61021-27840-ZN,R-M-0.5,1,2019,9,2019-09,3,5,Single,Rodger Raven,Los Angeles,United States,No,Rob,M,0.5,5.97,1.194,0.35819999999999996,Medium,5.97,0.35819999999999996
BKK-47233-845,2021-03-08,76239-90137-UQ,A-D-1,4,2021,3,2021-03,1,8,Medium,Ferrell Ferber,San Jose,United States,No,Ara,D,1.0,9.95,0.9949999999999999,0.8954999999999999,Large,39.8,3.5819999999999994
VQR-01002-970,2020-10-28,49315-21985-BB,E-L-2.5,5,2020,10,2020-10,4,28,Medium,Duky Phizackerly,San Jose,United States,Yes,Exc,L,2.5,34.154999999999994,1.3661999999999999,3.7570499999999996,X-Large,170.77499999999998,18.785249999999998
SZW-48378-399,2022-07-02,34136-36674-OM,R-M-1,5,2022,7,2022-07,3,2,Medium,Rosaleen Scholar,Richmond,United States,No,Rob,M,1.0,9.95,0.9949999999999999,0.597,Large,49.75,2.985
ITA-87418-783,2020-05-22,39396-12890-PE,R-D-2.5,2,2020,5,2020-05,2,22,Small,Terence Vanyutin,Migrate,United States,No,Rob,D,2.5,20.584999999999997,0.8233999999999999,1.2350999999999999,X-Large,41.169999999999995,2.4701999999999997
GNZ-46006-527,2022-04-05,95875-73336-RG,L-D-0.2,3,2022,4,2022-04,2,5,Small,Patrice Trobe,Saint Louis,United States,Yes,Lib,D,0.2,3.885,1.9425,0.50505,Small,11.655,1.51515
FYQ-78248-319,2022-06-07,25473-43727-BY,R-M-2.5,5,2022,6,2022-06,2,7,Medium,Llywellyn Oscroft,Philadelphia,United States,No,Rob,M,2.5,22.884999999999998,0.9153999999999999,1.3730999999999998,X-Large,114.42499999999998,6.865499999999999
VAU-44387-624,2019-03-20,99643-51048-IQ,A-M-0.2,6,2019,3,2019-03,1,20,Medium,Minni Alabaster,Portland,United States,No,Ara,M,0.2,3.375,1.6875,0.30374999999999996,Small,20.25,1.8224999999999998
RDW-33155-159,2019-10-19,62173-15287-CU,A-L-1,6,2019,10,2019-10,4,19,Medium,Rhianon Broxup,Houston,United States,No,Ara,L,1.0,12.95,1.295,1.1655,Large,77.69999999999999,6.993
TDZ-59011-211,2019-06-13,57611-05522-ST,R-D-2.5,4,2019,6,2019-06,2,13,Medium,Pall Redford,Caherconlish,Ireland,Yes,Rob,D,2.5,20.584999999999997,0.8233999999999999,1.2350999999999999,X-Large,82.33999999999999,4.9403999999999995
IDU-25793-399,2020-12-04,76664-37050-DT,A-M-0.2,5,2020,12,2020-12,4,4,Medium,Aurea Corradino,New York City,United States,Yes,Ara,M,0.2,3.375,1.6875,0.30374999999999996,Small,16.875,1.5187499999999998
IDU-25793-399,2020-12-04,76664-37050-DT,E-D-0.2,4,2020,12,2020-12,4,4,Medium,Aurea Corradino,New York City,United States,Yes,Exc,D,0.2,3.645,1.8225,0.40095000000000003,Small,14.58,1.6038000000000001
NUO-20013-488,2020-12-04,03090-88267-BQ,A-D-0.2,6,2020,12,2020-12,4,4,Medium,Avrit Davidowsky,Grand Rapids,United States,No,Ara,D,0.2,2.985,1.4925,0.26865,Small,17.91,1.6118999999999999
UQU-65630-479,2021-01-22,37651-47492-NC,R-M-2.5,4,2021,1,2021-01,1,22,Medium,Annabel Antuk,Punta Gorda,United States,Yes,Rob,M,2.5,22.884999999999998,0.9153999999999999,1.3730999999999998,X-Large,91.53999999999999,5.492399999999999
FEO-11834-332,2022-02-11,95399-57205-HI,A-D-0.2,4,2022,2,2022-02,1,11,Medium,Iorgo Kleinert,Vancouver,United States,Yes,Ara,D,0.2,2.985,1.4925,0.26865,Small,11.94,1.0746
TKY-71558-096,2021-09-15,24010-66714-HW,A-M-1,1,2021,9,2021-09,3,15,Single,Chrisy Blofeld,Englewood,United States,No,Ara,M,1.0,11.25,1.125,1.0125,Large,11.25,1.0125
OXY-65322-253,2020-10-24,07591-92789-UA,E-M-0.2,3,2020,10,2020-10,4,24,Small,Culley Farris,Punta Gorda,United States,Yes,Exc,M,0.2,4.125,2.0625,0.45375,Small,12.375,1.36125
EVP-43500-491,2019-02-20,49231-44455-IC,A-M-0.5,4,2019,2,2019-02,1,20,Medium,Selene Shales,Petaluma,United States,Yes,Ara,M,0.5,6.75,1.35,0.6074999999999999,Medium,27.0,2.4299999999999997
WAG-26945-689,2019-10-08,50124-88608-EO,A-M-0.2,5,2019,10,2019-10,4,8,Medium,Vivie Danneil,Tralee,Ireland,No,Ara,M,0.2,3.375,1.6875,0.30374999999999996,Small,16.875,1.5187499999999998
CHE-78995-767,2022-08-02,00888-74814-UZ,A-D-0.5,3,2022,8,2022-08,3,2,Small,Theresita Newbury,Clonskeagh,Ireland,No,Ara,D,0.5,5.97,1.194,0.5373,Medium,17.91,1.6118999999999999
RYZ-14633-602,2019-02-20,14158-30713-OB,A-D-1,4,2019,2,2019-02,1,20,Medium,Mozelle Calcutt,Rathwire,Ireland,Yes,Ara,D,1.0,9.95,0.9949999999999999,0.8954999999999999,Large,39.8,3.5819999999999994
WOQ-36015-429,2021-09-25,51427-89175-QJ,L-M-0.2,5,2021,9,2021-09,3,25,Medium,Adrian Swaine,Aurora,United States,No,Lib,M,0.2,4.365,2.1825,0.56745,Small,21.825000000000003,2.83725
WOQ-36015-429,2021-09-25,51427-89175-QJ,A-D-0.5,6,2021,9,2021-09,3,25,Medium,Adrian Swaine,Aurora,United States,No,Ara,D,0.5,5.97,1.194,0.5373,Medium,35.82,3.2237999999999998
WOQ-36015-429,2021-09-25,51427-89175-QJ,L-M-0.5,6,2021,9,2021-09,3,25,Medium,Adrian Swaine,Aurora,United States,No,Lib,M,0.5,8.73,1.746,1.1349,Medium,52.38,6.8094
SCT-60553-454,2021-07-17,39123-12846-YJ,L-L-0.2,5,2021,7,2021-07,3,17,Medium,Gallard Gatheral,Grand Forks,United States,No,Lib,L,0.2,4.755,2.3775,0.61815,Small,23.775,3.09075
GFK-52063-244,2020-06-29,44981-99666-XB,L-L-0.5,6,2020,6,2020-06,2,29,Medium,Una Welberry,Upton,United Kingdom,Yes,Lib,L,0.5,9.51,1.902,1.2363,Medium,57.06,7.4178
AMM-79521-378,2021-06-01,24825-51803-CQ,A-D-0.5,6,2021,6,2021-06,2,1,Medium,Faber Eilhart,Charleston,United States,No,Ara,D,0.5,5.97,1.194,0.5373,Medium,35.82,3.2237999999999998
QUQ-90580-772,2021-02-06,77634-13918-GJ,L-M-0.2,2,2021,2,2021-02,1,6,Small,Zorina Ponting,Little Rock,United States,No,Lib,M,0.2,4.365,2.1825,0.56745,Small,8.73,1.1349
LGD-24408-274,2019-04-25,13694-25001-LX,L-L-0.5,3,2019,4,2019-04,2,25,Small,Silvio Strase,Denver,United States,No,Lib,L,0.5,9.51,1.902,1.2363,Medium,28.53,3.7089
HCT-95608-959,2020-04-25,08523-01791-TI,R-M-2.5,5,2020,4,2020-04,2,25,Medium,Dorie de la Tremoille,Minneapolis,United States,No,Rob,M,2.5,22.884999999999998,0.9153999999999999,1.3730999999999998,X-Large,114.42499999999998,6.865499999999999
OFX-99147-470,2021-11-24,49860-68865-AB,R-M-1,6,2021,11,2021-11,4,24,Medium,Hy Zanetto,Tucson,United States,Yes,Rob,M,1.0,9.95,0.9949999999999999,0.597,Large,59.699999999999996,3.582
LUO-37559-016,2021-04-19,21240-83132-SP,L-M-1,3,2021,4,2021-04,2,19,Small,Jessica McNess,New Orleans,United States,No,Lib,M,1.0,14.55,1.455,1.8915000000000002,Large,43.650000000000006,5.6745
XWC-20610-167,2022-07-07,08350-81623-TF,E-D-0.2,2,2022,7,2022-07,3,7,Small,Lorenzo Yeoland,Hartford,United States,Yes,Exc,D,0.2,3.645,1.8225,0.40095000000000003,Small,7.29,0.8019000000000001
GPU-79113-136,2019-05-22,73284-01385-SJ,R-D-0.2,3,2019,5,2019-05,2,22,Small,Abigail Tolworthy,Ogden,United States,Yes,Rob,D,0.2,2.6849999999999996,1.3424999999999998,0.16109999999999997,Small,8.055,0.4832999999999999
ULR-52653-960,2021-10-04,04152-34436-IE,L-L-2.5,2,2021,10,2021-10,4,4,Small,Maurie Bartol,Boston,United States,No,Lib,L,2.5,36.455,1.4582,4.7391499999999995,X-Large,72.91,9.478299999999999
HPI-42308-142,2020-04-11,06631-86965-XP,E-M-0.5,2,2020,4,2020-04,2,11,Small,Olag Baudassi,Rochester,United States,Yes,Exc,M,0.5,8.25,1.65,0.9075,Medium,16.5,1.815
XHI-30227-581,2022-01-31,54619-08558-ZU,L-D-2.5,6,2022,1,2022-01,1,31,Medium,Petey Kingsbury,Bronx,United States,No,Lib,D,2.5,29.784999999999997,1.1913999999999998,3.8720499999999998,X-Large,178.70999999999998,23.2323
DJH-05202-380,2019-11-07,85589-17020-CX,E-M-2.5,2,2019,11,2019-11,4,7,Small,Donna Baskeyfied,Birmingham,United States,Yes,Exc,M,2.5,31.624999999999996,1.265,3.47875,X-Large,63.24999999999999,6.9575
VMW-26889-781,2019-06-28,36078-91009-WU,A-L-0.2,2,2019,6,2019-06,2,28,Small,Arda Curley,San Bernardino,United States,Yes,Ara,L,0.2,3.885,1.9425,0.34964999999999996,Small,7.77,0.6992999999999999
DBU-81099-586,2020-09-11,15770-27099-GX,A-D-2.5,4,2020,9,2020-09,3,11,Medium,Raynor McGilvary,Norfolk,United States,No,Ara,D,2.5,22.884999999999998,0.9153999999999999,2.0596499999999995,X-Large,91.53999999999999,8.238599999999998
PQA-54820-810,2022-08-17,91460-04823-BX,A-L-1,3,2022,8,2022-08,3,17,Small,Isis Pikett,Washington,United States,No,Ara,L,1.0,12.95,1.295,1.1655,Large,38.849999999999994,3.4965
XKB-41924-202,2022-08-19,45089-52817-WN,L-D-0.5,2,2022,8,2022-08,3,19,Small,Inger Bouldon,Fort Lauderdale,United States,No,Lib,D,0.5,7.77,1.5539999999999998,1.0101,Medium,15.54,2.0202
DWZ-69106-473,2019-05-15,76447-50326-IC,L-L-2.5,4,2019,5,2019-05,2,15,Medium,Karry Flanders,Crumlin,Ireland,Yes,Lib,L,2.5,36.455,1.4582,4.7391499999999995,X-Large,145.82,18.956599999999998
YHV-68700-050,2019-09-11,26333-67911-OL,R-M-0.5,5,2019,9,2019-09,3,11,Medium,Hartley Mattioli,Kinloch,United Kingdom,No,Rob,M,0.5,5.97,1.194,0.35819999999999996,Medium,29.849999999999998,1.791
